group,names,scores,logfoldchanges,pvals,pvals_adj
24,Atp1b1,239.59456,2.6493149,0.0,0.0
24,Kcnj4,239.45503,4.4895816,0.0,0.0
15,Dpysl3,238.4111,3.1999955,0.0,0.0
15,Neurod6,236.9288,4.1338487,0.0,0.0
24,Sipa1l1,236.0693,3.2032943,0.0,0.0
15,Jpt1,235.90369,2.8297334,0.0,0.0
24,Synpr,235.18256,4.5743885,0.0,0.0
24,Inpp5j,234.9889,3.643732,0.0,0.0
24,Pbx1,233.92358,2.9463708,0.0,0.0
24,Gprc5b,233.43118,3.7369561,0.0,0.0
24,Atp1a3,231.42377,2.482303,0.0,0.0
15,Neurod2,231.33217,3.2138674,0.0,0.0
15,Nsg1,231.26193,2.0895245,0.0,0.0
15,Sox11,229.55359,3.2746305,0.0,0.0
24,Auts2,229.52512,2.3519354,0.0,0.0
15,Zbtb18,228.30836,2.5967777,0.0,0.0
24,Ppm1e,227.18555,2.994916,0.0,0.0
24,Gad1,227.0241,3.841388,0.0,0.0
20,Fads2,224.7054,3.6793387,0.0,0.0
15,Crmp1,224.3243,2.2537522,0.0,0.0
24,Fam171b,223.32849,2.8349273,0.0,0.0
24,Icam5,222.83737,3.799621,0.0,0.0
15,Ptprs,221.8502,1.5592048,0.0,0.0
24,C1qtnf4,221.24823,2.6759553,0.0,0.0
20,Plpp3,221.16295,5.207421,0.0,0.0
24,Cx3cl1,219.84967,2.9782755,0.0,0.0
20,Adgrg1,218.17555,3.630043,0.0,0.0
14,Nxph1,216.74094,4.348354,0.0,0.0
20,Mfge8,213.69804,5.9108825,0.0,0.0
20,Ptn,209.12325,3.565596,0.0,0.0
20,Tnc,208.67981,8.004044,0.0,0.0
33,Slc1a2,208.51027,3.6773727,0.0,0.0
20,Rgma,205.1967,3.873699,0.0,0.0
20,Ttyh3,205.16603,2.43689,0.0,0.0
20,Lfng,203.25516,5.8947515,0.0,0.0
14,Gria1,202.65501,3.1490612,0.0,0.0
14,Lhx6,202.20615,6.1948786,0.0,0.0
20,Ednrb,202.16393,5.811724,0.0,0.0
20,Apoe,201.7288,4.0829806,0.0,0.0
14,Slc6a1,201.47525,3.202694,0.0,0.0
20,Mlc1,199.12886,6.559096,0.0,0.0
20,Qki,197.59007,2.8046148,0.0,0.0
31,Bcan,196.40826,6.098032,0.0,0.0
20,Hnrnpa2b1,194.92805,1.5269566,0.0,0.0
31,Gpr17,194.43277,10.240833,0.0,0.0
33,Khdrbs3,193.19576,3.0649822,0.0,0.0
14,Kcnc2,192.59082,3.7858708,0.0,0.0
20,Cnn3,191.96005,3.297136,0.0,0.0
33,Slc17a7,190.62993,3.6264806,0.0,0.0
20,Atp1a2,190.6074,4.145109,0.0,0.0
33,Syt7,188.87659,2.51731,0.0,0.0
5,Gpr88,188.49739,5.8905582,0.0,0.0
31,Olig2,188.34523,6.0103416,0.0,0.0
33,Etl4,188.31845,3.370411,0.0,0.0
5,Adamts3,186.14995,3.8333237,0.0,0.0
5,Rgs9,185.08813,5.3050737,0.0,0.0
31,Ptprz1,184.31842,5.1484466,0.0,0.0
14,Xkr4,183.53224,2.3248215,0.0,0.0
31,Lhfpl3,182.35219,5.067759,0.0,0.0
31,Serpine2,182.27785,5.1299314,0.0,0.0
33,Vxn,180.99121,4.011905,0.0,0.0
34,Kit,180.67313,6.334535,0.0,0.0
31,Cspg4,180.42822,8.416021,0.0,0.0
14,Ptprm,180.24498,3.015088,0.0,0.0
33,Sstr4,180.18973,3.7626567,0.0,0.0
33,Tle4,180.04553,2.9762995,0.0,0.0
