sample_id,group,age,sex,pool,B cell,DSC,Endothelium,Epithelial,Erythrocyte,GC,JZP,LaTP,Lymphatic EC,Megakaryocyte,Mesenchyme,Myeloid,NK,Parietal endoderm,S-TGC,SpT,SynTI,SynTII,Yolk sac epithelial,unassigned_immune
MES1.1,Early_Stress,E12.5,M,Pool3,0.004618486957653028,0.284589865348338,0.08833669420412411,0.011253496389774279,0.0229623365641059,0.025043908150653743,0.14031093475574058,0.0636830807259481,0.002471866259025564,0.002797111819423665,0.024978859038574122,0.026084693943927664,0.058544200871658104,0.02894685487543095,0.05034801274962597,0.08866193976452222,0.02237689455538932,0.012814675079685162,0.006439862095882392,0.03473622585051714
MES1.2,Early_Stress,E12.5,F,Pool3,0.0021552979553795073,0.268654977573251,0.11842488495369022,0.01683462457039669,0.020912215296790354,0.02277625677171317,0.09605638725461642,0.06331915885128445,0.005184365352129085,0.003669831653754296,0.025688821576280073,0.02481505213491,0.04764956020271451,0.03768858857109571,0.0822508300809693,0.08388186637152677,0.02306751325216986,0.01153375662608493,0.00023300518436535214,0.045203005766878315
MES1.3,Early_Stress,E12.5,M,Pool3,0.0025383511753669574,0.2902549387484825,0.10219622558216532,0.0026487142699481293,0.04149652356252069,0.019092815362542766,0.11610197549939301,0.059706434168414084,0.00011036309458117205,0.005076702350733915,0.029356583158591767,0.021741529632490895,0.04535923187286171,0.03112239267189052,0.04447632711621234,0.085310672111246,0.020196446308354488,0.00904977375565611,0.00485597616157157,0.06930802339697605
MES1.4,Early_Stress,E12.5,M,Pool3,0.004793510324483776,0.3030973451327434,0.06452802359882005,0.03687315634218289,0.015855457227138645,0.011799410029498525,0.13827433628318583,0.06563421828908554,0.0022123893805309734,0.0014749262536873156,0.025442477876106196,0.02765486725663717,0.05420353982300885,0.023230088495575223,0.04424778761061947,0.0700589970501475,0.022123893805309734,0.01364306784660767,0.016592920353982302,0.05825958702064897
MES2.1,Early_Stress,E12.5,M,Pool3,0.0027624309392265192,0.21933701657458562,0.10220994475138122,0.0016574585635359116,0.020994475138121547,0.011049723756906077,0.15856353591160222,0.06740331491712707,0.0,0.0038674033149171273,0.029281767955801105,0.01712707182320442,0.04364640883977901,0.018232044198895028,0.07513812154696133,0.08839779005524862,0.022651933701657457,0.019889502762430938,0.02430939226519337,0.07348066298342541
MES2.2,Early_Stress,E12.5,F,Pool3,0.002615933412604043,0.22330558858501784,0.11961950059453032,0.015933412604042806,0.02925089179548157,0.02235434007134364,0.12128418549346016,0.06682520808561236,0.0033293697978596906,0.005707491082045184,0.02544589774078478,0.02473246135552913,0.052556480380499405,0.02211652794292509,0.056837098692033294,0.0925089179548157,0.026634958382877525,0.0178359096313912,0.0004756242568370987,0.07063020214030916
MES2.3,Early_Stress,E12.5,F,Pool3,0.004643462811919567,0.2117822821610272,0.11523863361059516,0.022369377372203826,0.04336590486957926,0.011628845998546394,0.0723976419284503,0.05216829524347896,0.00117096018735363,0.005168375999353953,0.08031171767746104,0.01784704837276912,0.022450133247193735,0.03642089962044739,0.06266655899216668,0.03981264637002342,0.01623193087297101,0.006056690624242913,0.11834773479770654,0.059920859242509894
MES2.4,Early_Stress,E12.5,F,Pool3,0.0019908987485779293,0.20563139931740615,0.12656427758816838,0.009101251422070534,0.019908987485779295,0.014505119453924915,0.1149032992036405,0.07224118316268487,0.001422070534698521,0.003981797497155859,0.04010238907849829,0.021899886234357225,0.07394766780432309,0.03782707622298066,0.06399317406143344,0.05773606370875996,0.026450511945392493,0.012229806598407281,0.06171786120591581,0.0338452787258248
MES4.4,Early_Stress,E12.5,M,Pool3,0.0018812709030100335,0.15781772575250835,0.06626254180602006,0.05936454849498328,0.018185618729096988,0.026337792642140468,0.1496655518394649,0.08131270903010034,0.0010451505016722408,0.0035535117056856185,0.024456521739130436,0.015468227424749164,0.021739130434782608,0.018603678929765888,0.09197324414715718,0.1436036789297659,0.025501672240802676,0.01588628762541806,0.005852842809364548,0.07148829431438126
CES1.2,Relaxed,E12.5,M,Pool3,0.008240977550440466,0.260230179028133,0.13022165387894288,0.01999857914180165,0.040885194657573176,0.018364592213697073,0.12297527706734868,0.06912475134981529,0.0002841716396703609,0.0042980960500142084,0.031081273088945722,0.03385194657573174,0.0647200909349247,0.016624040920716114,0.036729184427394146,0.057082978118783746,0.029198635976129584,0.01395993179880648,0.0004973003694231316,0.041631145211707875
CES1.3,Relaxed,E12.5,M,Pool3,0.009587855383181304,0.26506425194753314,0.08096411212464212,0.02626672881017378,0.04657433917038418,0.017910646514415075,0.13146680870896865,0.06651574672082029,0.0008988614421732472,0.00392835741394234,0.034822558093082094,0.033690658499234305,0.04534256608296158,0.05013649377455223,0.03612091350955456,0.06704840535321925,0.02593381716492443,0.014514947732871696,0.007124309208336108,0.03608762234502963
CES2.2,Relaxed,E12.5,F,Pool4,0.006830493836853262,0.3446258930674413,0.11568658239773887,0.012483316322524928,0.027675276752767528,0.012130014917170449,0.09774672214807255,0.05754887336107404,0.0005495799638847453,0.002904922666247939,0.02637983826646777,0.02720420821229489,0.05641045772159849,0.02637983826646777,0.027400486770825155,0.05684227055036508,0.02284682421292298,0.008125932323153019,0.003101201224778205,0.06712726701735103
CES2.3,Relaxed,E12.5,M,Pool3,0.005507613465673136,0.23844726533737814,0.1055871351574235,0.007186404735958531,0.025977085971784525,0.008423408829853032,0.11445233116366742,0.053809678084410804,0.0029452478426059553,0.004005537065944099,0.054811062350896826,0.029246311077077137,0.05525284952728772,0.015374193738403086,0.04965687862633641,0.03814095956174712,0.019438635761199304,0.008924100963096045,0.08611904691779813,0.07669425382145907
