group,names,scores,logfoldchanges,pvals,pvals_adj
32,Myo15b,195.23834,5.5527997,0.0,0.0
1,Taf1d,194.72491,2.3751235,0.0,0.0
21,Car4,194.4157,3.9699895,0.0,0.0
1,Tbrg1,193.90503,2.041208,0.0,0.0
21,Ltbp3,193.89546,5.169028,0.0,0.0
12,Fndc3a,193.0947,2.4873686,0.0,0.0
1,Ptprf,192.8178,2.9629796,0.0,0.0
21,Med12l,192.81166,5.40659,0.0,0.0
21,Fabp3,192.6742,4.123901,0.0,0.0
21,Cd320,191.73238,4.5168104,0.0,0.0
1,Tpm2,191.32137,2.6794603,0.0,0.0
39,Pappa2,191.05522,4.0255785,0.0,0.0
32,Fcgrt,190.4643,4.7112107,0.0,0.0
21,Rassf6,190.39699,4.9607368,0.0,0.0
39,Nuak1,190.16983,4.91013,0.0,0.0
21,Dlg5,190.13805,3.8437974,0.0,0.0
32,Rbp4,190.04276,4.397134,0.0,0.0
32,Fgg,189.20209,5.552765,0.0,0.0
32,Fga,189.17012,5.411381,0.0,0.0
1,Septin5,188.36638,3.1750033,0.0,0.0
12,Tnfrsf11b,188.11499,4.1154065,0.0,0.0
39,Ahnak,187.95425,2.5477967,0.0,0.0
39,Tpbpb,187.82425,3.103637,0.0,0.0
21,Lonrf3,186.10425,5.570998,0.0,0.0
32,Osbpl6,185.82262,5.563346,0.0,0.0
21,Mpp7,185.12347,4.147769,0.0,0.0
12,Xdh,183.93854,3.2567894,0.0,0.0
32,Kng1,183.83334,5.3322024,0.0,0.0
39,Ets2,183.21556,3.2545652,0.0,0.0
12,Sik1,183.13324,2.9652336,0.0,0.0
12,A4galt,182.4085,2.872731,0.0,0.0
12,Ahnak2,181.86163,3.2905858,0.0,0.0
39,Cited2,181.5582,2.5645852,0.0,0.0
32,F2,181.24387,5.479709,0.0,0.0
39,Ccr1l1,180.78441,4.9816227,0.0,0.0
39,Scn9a,180.66315,8.001542,0.0,0.0
39,Sema3f,180.09811,3.3970711,0.0,0.0
39,Sult1e1,179.72679,6.4836693,0.0,0.0
12,Lrp1,178.40134,2.955569,0.0,0.0
12,Ampd3,177.90675,3.295556,0.0,0.0
32,Kng2,177.73592,5.2389107,0.0,0.0
32,Apoe,177.6096,3.6559644,0.0,0.0
12,Fgfr1,177.58005,2.4181168,0.0,0.0
32,Patj,177.38199,2.7655582,0.0,0.0
39,Prl2a1,177.36409,2.9612913,0.0,0.0
12,Dtna,176.88078,3.5356169,0.0,0.0
12,Pakap-1,176.3222,2.5239656,0.0,0.0
12,Slco5a1,176.03702,3.5346222,0.0,0.0
12,Myo18b,176.0053,5.0130606,0.0,0.0
39,Ddhd1,175.68846,3.304761,0.0,0.0
12,Ugcg,175.56483,2.9517908,0.0,0.0
39,Fgfr1,175.51756,2.7643843,0.0,0.0
12,Lgals3,174.39043,2.0548253,0.0,0.0
39,Tmc5,174.1842,4.7899127,0.0,0.0
39,Ada,173.81053,3.1182895,0.0,0.0
39,Pitrm1,173.56952,3.3050332,0.0,0.0
12,Sorbs2,173.32832,3.2598598,0.0,0.0
39,Serpinb9d,172.18681,4.4438195,0.0,0.0
17,Dock2,171.69545,7.251955,0.0,0.0
39,Trp53i11,171.28621,3.5923939,0.0,0.0
17,Acap1,170.48207,7.7616663,0.0,0.0
39,Pla2g4e,170.15901,4.985027,0.0,0.0
0,Bhlhe41,169.3177,3.9274566,0.0,0.0
0,Pappa2,168.42462,4.158155,0.0,0.0
0,Adcy7,168.05418,3.632222,0.0,0.0
0,Nsd3,167.34248,2.1858675,0.0,0.0
19,Hdac9,167.26292,8.221597,0.0,0.0
14,Sfmbt2,166.23769,3.3713481,0.0,0.0
17,Runx3,166.09245,9.133702,0.0,0.0
17,Fyb,166.06421,7.015077,0.0,0.0
17,Gzmc,164.18549,5.1205025,0.0,0.0
19,Adgrf5,163.7349,4.391725,0.0,0.0
17,Il2rb,163.60648,5.8270087,0.0,0.0
17,Txk,162.42685,9.242442,0.0,0.0
17,Arhgap45,161.91656,5.4061756,0.0,0.0
19,Ramp3,161.91454,6.299131,0.0,0.0
17,Dock10,161.83157,6.7015123,0.0,0.0
17,Gzmd,161.81398,4.9168143,0.0,0.0
19,Jam2,161.70952,6.388517,0.0,0.0
0,Ada,161.26459,3.2559447,0.0,0.0
17,Gzmf,160.81548,4.4171867,0.0,0.0
0,Gramd2,159.93164,4.1928535,0.0,0.0
17,Tbc1d10c,159.92795,6.3543916,0.0,0.0
17,Ptpn22,159.5922,7.3465915,0.0,0.0
17,Gzmg,158.92993,4.7832046,0.0,0.0
17,Cblb,158.80577,4.036323,0.0,0.0
14,Mybl2,158.48042,3.5864134,0.0,0.0
17,Adam8,158.37027,6.6194434,0.0,0.0
0,Noct,158.13579,3.5292463,0.0,0.0
17,Psd4,157.99394,4.595371,0.0,0.0
0,Pla2g4f,157.94365,4.4110513,0.0,0.0
17,Adamts14,157.32066,6.743824,0.0,0.0
26,Col1a1,156.9475,4.4408574,0.0,0.0
19,Calcrl,156.88525,5.604874,0.0,0.0
17,Prf1,156.52724,6.313566,0.0,0.0
40,Aqp8,156.16962,6.694997,0.0,0.0
19,Ldb2,156.03511,5.687988,0.0,0.0
17,Sema4d,155.41641,4.292687,0.0,0.0
0,Vstm4,155.2643,3.389683,0.0,0.0
0,Bcat1,154.97144,3.4286857,0.0,0.0
0,Xylt1,154.94026,3.5872393,0.0,0.0
26,Plagl1,154.67708,4.401201,0.0,0.0
0,Ceacam3,153.60327,3.4312649,0.0,0.0
40,Atp2b1,153.19646,4.416012,0.0,0.0
11,Ermap,153.0525,9.338355,0.0,0.0
26,Col1a2,153.04544,4.1120353,0.0,0.0
19,Epha2,152.64165,5.572809,0.0,0.0
13,Ctsj,152.48,3.204218,0.0,0.0
0,Psg29,152.05312,3.35995,0.0,0.0
0,Arhgap39,151.96672,3.6871195,0.0,0.0
11,Hbb-y,151.76987,5.5954823,0.0,0.0
0,Cux1,151.46654,2.4675732,0.0,0.0
19,Sema6d,151.2641,4.585936,0.0,0.0
40,Aifm3,151.2262,7.396084,0.0,0.0
14,Gata2,150.34082,2.753223,0.0,0.0
